Generation,Exploration Count,Exploitation Count,Total Count
695,17,33,50
696,20,30,50
697,21,29,50
698,21,29,50
699,25,25,50
700,25,25,50
701,19,31,50
702,25,25,50
703,17,33,50
704,23,27,50
705,24,26,50
706,21,29,50
707,25,25,50
708,22,28,50
709,22,28,50
710,23,27,50
711,19,31,50
712,18,32,50
713,24,26,50
714,21,29,50
715,24,26,50
716,21,29,50
717,23,27,50
718,21,29,50
719,20,30,50
720,22,28,50
721,24,26,50
722,24,26,50
723,26,24,50
724,19,31,50
725,22,28,50
726,24,26,50
727,23,27,50
728,22,28,50
729,17,33,50
730,22,28,50
731,21,29,50
732,20,30,50
733,19,31,50
734,21,29,50
735,19,31,50
736,16,34,50
737,21,29,50
738,21,29,50
739,29,21,50
740,22,28,50
741,20,30,50
742,23,27,50
743,23,27,50
744,22,28,50
745,24,26,50
746,28,22,50
747,24,26,50
748,21,29,50
749,27,23,50
750,25,25,50
751,24,26,50
752,23,27,50
753,26,24,50
754,25,25,50
755,21,29,50
756,20,30,50
757,22,28,50
758,22,28,50
759,18,32,50
760,24,26,50
761,23,27,50
762,21,29,50
763,26,24,50
764,18,32,50
765,21,29,50
766,22,28,50
767,18,32,50
768,22,28,50
769,26,24,50
770,20,30,50
771,22,28,50
772,19,31,50
773,22,28,50
774,24,26,50
775,24,26,50
776,20,30,50
777,24,26,50
778,21,29,50
779,26,24,50
780,23,27,50
781,22,28,50
782,23,27,50
783,21,29,50
784,22,28,50
785,27,23,50
786,21,29,50
787,23,27,50
788,23,27,50
789,25,25,50
790,21,29,50
791,20,30,50
792,26,24,50
793,20,30,50
794,24,26,50
795,25,25,50
796,26,24,50
797,24,26,50
798,27,23,50
799,23,27,50
800,24,26,50
801,24,26,50
802,23,27,50
803,24,26,50
804,22,28,50
805,19,31,50
806,24,26,50
807,21,29,50
808,21,29,50
809,20,30,50
810,26,24,50
811,26,24,50
812,28,22,50
813,26,24,50
814,20,30,50
815,25,25,50
816,22,28,50
817,27,23,50
818,27,23,50
819,26,24,50
820,25,25,50
821,25,25,50
822,24,26,50
823,23,27,50
824,22,28,50
825,21,29,50
826,20,30,50
827,21,29,50
828,17,33,50
829,19,31,50
830,24,26,50
831,19,31,50
832,22,28,50
833,28,22,50
834,20,30,50
835,23,27,50
836,20,30,50
837,24,26,50
838,18,32,50
839,24,26,50
840,25,25,50
841,21,29,50
842,27,23,50
843,26,24,50
844,26,24,50
845,24,26,50
846,23,27,50
847,24,26,50
848,26,24,50
849,25,25,50
850,26,24,50
851,24,26,50
852,27,23,50
853,24,26,50
854,21,29,50
855,23,27,50
856,22,28,50
857,20,30,50
858,22,28,50
859,21,29,50
860,28,22,50
861,21,29,50
862,26,24,50
863,29,21,50
864,25,25,50
865,22,28,50
866,25,25,50
867,25,25,50
868,27,23,50
869,26,24,50
870,28,22,50
871,27,23,50
872,27,23,50
873,24,26,50
874,25,25,50
875,20,30,50
876,28,22,50
877,20,30,50
878,21,29,50
879,24,26,50
880,29,21,50
881,27,23,50
882,25,25,50
883,24,26,50
884,27,23,50
885,28,22,50
886,30,20,50
887,26,24,50
888,23,27,50
889,20,30,50
890,20,30,50
891,21,29,50
892,20,30,50
893,23,27,50
894,27,23,50
895,23,27,50
896,24,26,50
897,24,26,50
898,26,24,50
899,26,24,50
900,22,28,50
901,27,23,50
902,26,24,50
903,26,24,50
904,25,25,50
905,28,22,50
906,27,23,50
907,30,20,50
908,28,22,50
909,24,26,50
910,29,21,50
911,24,26,50
912,27,23,50
913,28,22,50
914,25,25,50
915,23,27,50
916,25,25,50
917,23,27,50
918,25,25,50
919,27,23,50
920,24,26,50
921,25,25,50
922,26,24,50
923,24,26,50
924,24,26,50
925,28,22,50
926,27,23,50
927,26,24,50
928,23,27,50
929,25,25,50
930,24,26,50
931,25,25,50
932,19,31,50
933,22,28,50
934,23,27,50
935,27,23,50
936,26,24,50
937,29,21,50
938,26,24,50
939,25,25,50
940,22,28,50
941,27,23,50
942,23,27,50
943,25,25,50
944,24,26,50
945,22,28,50
946,29,21,50
947,28,22,50
948,28,22,50
949,28,22,50
950,31,19,50
951,28,22,50
952,28,22,50
953,27,23,50
954,23,27,50
955,25,25,50
956,26,24,50
957,22,28,50
958,24,26,50
959,25,25,50
960,26,24,50
961,29,21,50
962,28,22,50
963,25,25,50
964,27,23,50
965,29,21,50
966,25,25,50
967,23,27,50
968,29,21,50
969,28,22,50
970,28,22,50
971,27,23,50
972,22,28,50
973,29,21,50
974,24,26,50
975,28,22,50
976,25,25,50
977,26,24,50
978,24,26,50
979,21,29,50
980,24,26,50
981,26,24,50
982,27,23,50
983,25,25,50
984,31,19,50
985,26,24,50
986,29,21,50
987,25,25,50
988,26,24,50
989,26,24,50
990,30,20,50
991,33,17,50
992,29,21,50
993,29,21,50
994,29,21,50
995,25,25,50
996,25,25,50
997,29,21,50
998,25,25,50
999,24,26,50
